,statistic,pvalue,sig,mean_EpiOnly_20180710_clean_scale_imp_CV_S_FS,std_EpiOnly_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,std_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,std_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS
Accuracy,21.687069,2e-05,*,0.801884,0.023341,0.824442,0.018093,0.659169,0.02869
Balanced Accuracy,13.016774,0.001491,*,0.582392,0.030051,0.580001,0.014451,0.54677,0.016185
F1_Score,0.43826,0.803217,,0.29077,0.064918,0.28659,0.029749,0.283277,0.060468
Precision,12.581509,0.001853,*,0.338001,0.08133,0.408129,0.079171,0.507618,0.103342
Recall,5.231932,0.073097,,0.2625,0.073125,0.22375,0.023162,0.208146,0.075706
Specificity,5.65797,0.059073,,0.902284,0.033331,0.936251,0.021792,0.885394,0.069338
TN,21.944776,1.7e-05,*,387.8,14.289079,402.4,9.335714,57.8,6.232531
TP,20.542694,3.5e-05,*,21.0,5.849976,17.9,1.852926,6.8,2.394438
FN,21.212615,2.5e-05,*,59.0,5.849976,62.1,1.852926,26.0,3.431877
FP,22.01211,1.7e-05,*,42.0,14.337209,27.4,9.371351,7.4,4.299871
ROC_AUC,7.667097,0.021633,*,0.62946,0.039947,0.668147,0.046388,0.5738,0.076282
PRC_AUC,14.689032,0.000646,*,0.294821,0.045251,0.329185,0.044928,0.421313,0.060022
PRC_APS,17.009032,0.000203,*,0.299472,0.044149,0.334338,0.044155,0.437255,0.05828
