,metric,dataset1,dataset2,statistic,pvalue,sig,best_alg1,mean_dataset1,std_dataset1,best_alg2,mean_dataset2,std_dataset2
0,Accuracy,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,33.0,0.105285,,LCS_QRF,0.844648,0.008045,LCS_QRF,0.849548,0.007751
1,Accuracy,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,0.0,9.1e-05,*,LCS_QRF,0.844648,0.008045,LCS_QRF,0.663783,0.018093
2,Accuracy,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,0.0,9e-05,*,LCS_QRF,0.849548,0.007751,LCS_QRF,0.663783,0.018093
3,Balanced Accuracy,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,26.5,0.040992,*,XGB,0.685425,0.027553,LGB,0.700193,0.033299
4,Balanced Accuracy,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,1.0,0.000123,*,XGB,0.685425,0.027553,naive_bayes,0.572899,0.039524
5,Balanced Accuracy,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,0.0,9.1e-05,*,LGB,0.700193,0.033299,naive_bayes,0.572899,0.039524
6,F1_Score,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,32.0,0.092856,,XGB,0.431666,0.036297,random_forest,0.44774,0.032054
7,F1_Score,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,46.0,0.395668,,XGB,0.431666,0.036297,SVM,0.443553,0.073854
8,F1_Score,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,45.0,0.366817,,random_forest,0.44774,0.032054,SVM,0.443553,0.073854
9,Precision,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,35.5,0.144414,,LCS_QRF,0.529261,0.090845,LCS_QRF,0.572236,0.080163
10,Precision,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,41.0,0.260183,,LCS_QRF,0.529261,0.090845,ANN,0.507618,0.103342
11,Precision,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,27.0,0.044426,*,LCS_QRF,0.572236,0.080163,ANN,0.507618,0.103342
12,Recall,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,21.5,0.016843,*,XGB,0.57375,0.039286,logistic_regression,0.615,0.063955
13,Recall,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,22.5,0.020511,*,XGB,0.57375,0.039286,SVM,0.490685,0.115589
14,Recall,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,17.0,0.006992,*,logistic_regression,0.615,0.063955,SVM,0.490685,0.115589
15,Specificity,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,47.5,0.439802,,LCS_QRF,0.975807,0.010289,LCS_QRF,0.975335,0.008007
16,Specificity,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,17.0,0.00701,*,LCS_QRF,0.975807,0.010289,LCS_QRF,0.9586,0.020886
17,Specificity,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,17.0,0.006992,*,LCS_QRF,0.975335,0.008007,LCS_QRF,0.9586,0.020886
18,TN,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,48.5,0.469723,,LCS_QRF,419.4,4.247875,LCS_QRF,419.2,3.614784
19,TN,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,0.0,9e-05,*,LCS_QRF,419.4,4.247875,LCS_QRF,62.5,3.62859
20,TN,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,0.0,9e-05,*,LCS_QRF,419.2,3.614784,LCS_QRF,62.5,3.62859
21,TP,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,21.5,0.016843,*,XGB,45.9,3.142893,logistic_regression,49.2,5.116422
22,TP,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,0.0,8.9e-05,*,XGB,45.9,3.142893,SVM,16.2,4.417138
23,TP,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,0.0,9e-05,*,logistic_regression,49.2,5.116422,SVM,16.2,4.417138
24,FN,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,30.5,0.073845,,LCS_QRF,68.8,2.859681,LCS_QRF,66.1,3.414023
25,FN,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,0.0,8.5e-05,*,LCS_QRF,68.8,2.859681,LCS_QRF,30.3,3.164034
26,FN,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,0.0,8.7e-05,*,LCS_QRF,66.1,3.414023,LCS_QRF,30.3,3.164034
27,FP,EpiOnly_20180710_clean_scale_imp_CV_S_FS,Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,17.0,0.006813,*,logistic_regression,91.2,8.599742,decision_tree,117.7,24.376902
