,statistic,pvalue,sig,mean_EpiOnly_20180710_clean_scale_imp_CV_S_FS,std_EpiOnly_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,std_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,std_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS
Accuracy,19.448048,6e-05,*,0.790699,0.011011,0.784021,0.021788,0.62416,0.031341
Balanced Accuracy,18.984223,7.5e-05,*,0.66681,0.019096,0.668444,0.031829,0.553602,0.034158
F1_Score,4.466155,0.107198,,0.421452,0.027015,0.421128,0.044115,0.371305,0.065255
Precision,7.206119,0.02724,*,0.372555,0.023945,0.364819,0.041392,0.424941,0.053382
Recall,11.575969,0.003064,*,0.48625,0.039726,0.5,0.056519,0.33938,0.096528
Specificity,11.243724,0.003618,*,0.84737,0.012996,0.836888,0.022041,0.767824,0.066142
TN,19.783668,5.1e-05,*,364.2,5.633235,359.7,9.707386,50.2,6.442912
TP,19.453195,6e-05,*,38.9,3.17805,40.0,4.521553,11.0,2.666667
FN,19.435826,6e-05,*,41.1,3.17805,40.0,4.521553,21.8,4.341019
FP,19.857232,4.9e-05,*,65.6,5.581716,70.1,9.421606,15.0,3.800585
ROC_AUC,18.913548,7.8e-05,*,0.709552,0.041714,0.731102,0.035588,0.561805,0.062596
PRC_AUC,6.505806,0.038662,*,0.346373,0.030016,0.389284,0.050184,0.422348,0.075514
PRC_APS,8.216774,0.016434,*,0.353458,0.029627,0.394246,0.049295,0.436149,0.071947
