,statistic,pvalue,sig,mean_EpiOnly_20180710_clean_scale_imp_CV_S_FS,std_EpiOnly_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,std_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,std_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS
Accuracy,20.145463,4.2e-05,*,0.844648,0.008045,0.849548,0.007751,0.663783,0.018093
Balanced Accuracy,17.009032,0.000203,*,0.557903,0.016373,0.574542,0.020339,0.518093,0.021543
F1_Score,13.79871,0.001008,*,0.218767,0.048615,0.264224,0.051735,0.131222,0.065495
Precision,4.570462,0.101751,,0.529261,0.090845,0.572236,0.080163,0.489603,0.211687
Recall,13.697831,0.001061,*,0.14,0.035746,0.17375,0.042675,0.077586,0.042926
Specificity,8.456503,0.014578,*,0.975807,0.010289,0.975335,0.008007,0.9586,0.020886
TN,19.425469,6.1e-05,*,419.4,4.247875,419.2,3.614784,62.5,3.62859
TP,20.486531,3.6e-05,*,11.2,2.859681,13.9,3.414023,2.5,1.269296
FN,20.45902,3.6e-05,*,68.8,2.859681,66.1,3.414023,30.3,3.164034
FP,19.301118,6.4e-05,*,10.4,4.427189,10.6,3.438346,2.7,1.337494
ROC_AUC,18.350968,0.000104,*,0.66718,0.020543,0.686944,0.036364,0.558018,0.060268
PRC_AUC,5.220645,0.073511,,0.361307,0.03372,0.394553,0.044567,0.418306,0.070046
PRC_APS,16.725161,0.000233,*,0.313541,0.033544,0.365187,0.046023,0.432824,0.064615
