,statistic,pvalue,sig,mean_EpiOnly_20180710_clean_scale_imp_CV_S_FS,std_EpiOnly_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,std_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,std_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS
Accuracy,19.387611,6.2e-05,*,0.76323,0.018565,0.759502,0.019469,0.592462,0.043041
Balanced Accuracy,20.340654,3.8e-05,*,0.685108,0.029538,0.700193,0.033299,0.524167,0.031057
F1_Score,15.973231,0.00034,*,0.431094,0.03764,0.444569,0.038924,0.340066,0.058465
Precision,3.571069,0.167707,,0.346476,0.031928,0.349173,0.031575,0.375462,0.044545
Recall,20.967584,2.8e-05,*,0.57125,0.050707,0.61375,0.065736,0.319955,0.086663
Specificity,6.934614,0.031201,*,0.798966,0.016566,0.786636,0.021058,0.728379,0.085663
TN,19.940496,4.7e-05,*,343.4,7.351493,338.1,9.218942,47.5,6.276057
TP,21.295009,2.4e-05,*,45.7,4.056545,49.1,5.258855,10.5,2.953341
FN,19.320568,6.4e-05,*,34.3,4.056545,30.9,5.258855,22.3,3.267687
FP,19.940496,4.7e-05,*,86.4,7.058486,91.7,9.006788,17.7,5.696978
ROC_AUC,20.100645,4.3e-05,*,0.721569,0.033486,0.743009,0.032413,0.528396,0.04032
PRC_AUC,3.950968,0.138694,,0.360207,0.027728,0.381326,0.031491,0.39831,0.066462
PRC_APS,5.047742,0.080149,,0.365608,0.027324,0.387567,0.030173,0.410291,0.062529
