,statistic,pvalue,sig,mean_EpiOnly_20180710_clean_scale_imp_CV_S_FS,std_EpiOnly_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,std_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,std_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS
Accuracy,23.714006,7e-06,*,0.766961,0.017075,0.788936,0.00867,0.593214,0.065463
Balanced Accuracy,15.269677,0.000483,*,0.67613,0.02183,0.590989,0.043594,0.566942,0.056289
F1_Score,13.272258,0.001312,*,0.423126,0.029754,0.304282,0.066326,0.443553,0.073854
Precision,13.24129,0.001333,*,0.346722,0.02874,0.312955,0.040788,0.414146,0.06271
Recall,13.118524,0.001417,*,0.54375,0.035478,0.3025,0.105869,0.490685,0.115589
Specificity,24.808816,4e-06,*,0.808509,0.017353,0.879479,0.021848,0.643199,0.113326
TN,25.573725,3e-06,*,347.5,7.604823,378.0,9.404491,41.9,7.40045
TP,20.024548,4.5e-05,*,43.5,2.838231,24.2,8.469553,16.2,4.417138
FN,23.889705,6e-06,*,36.5,2.838231,55.8,8.469553,16.6,3.50238
FP,25.573725,3e-06,*,82.3,7.424434,51.8,9.390302,23.3,7.528465
ROC_AUC,15.099355,0.000526,*,0.711006,0.031895,0.652372,0.041652,0.579494,0.068052
PRC_AUC,19.465806,5.9e-05,*,0.336469,0.033541,0.28315,0.038899,0.434191,0.072805
PRC_APS,21.181935,2.5e-05,*,0.343186,0.032368,0.290931,0.03941,0.449456,0.068992
