,statistic,pvalue,sig,mean_EpiOnly_20180710_clean_scale_imp_CV_S_FS,std_EpiOnly_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,std_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,std_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS
Accuracy,19.718062,5.2e-05,*,0.762049,0.023483,0.756368,0.018505,0.59823,0.053558
Balanced Accuracy,19.726452,5.2e-05,*,0.685425,0.027553,0.694774,0.026659,0.518401,0.024516
F1_Score,18.095484,0.000118,*,0.431666,0.036297,0.438022,0.032546,0.308654,0.057124
Precision,1.643871,0.43958,,0.346502,0.034729,0.343942,0.027602,0.388388,0.076114
Recall,20.677473,3.2e-05,*,0.57375,0.039286,0.605,0.05277,0.277747,0.093816
Specificity,1.644237,0.4395,,0.7971,0.023322,0.784547,0.021427,0.759055,0.119283
TN,19.948798,4.7e-05,*,342.6,10.265368,337.2,9.283199,49.5,8.08634
TP,20.691332,3.2e-05,*,45.9,3.142893,48.4,4.221637,9.1,3.107339
FN,18.474771,9.7e-05,*,34.1,3.142893,31.6,4.221637,23.7,3.622461
FP,19.99263,4.6e-05,*,87.2,9.953224,92.6,9.191784,15.7,7.631077
ROC_AUC,20.72,3.2e-05,*,0.714144,0.032009,0.741926,0.031485,0.534963,0.043855
PRC_AUC,3.014194,0.221552,,0.371892,0.033049,0.404536,0.044467,0.403855,0.073674
PRC_APS,3.416774,0.181158,,0.377264,0.032804,0.409614,0.043262,0.41749,0.069465
