,statistic,pvalue,sig,mean_EpiOnly_20180710_clean_scale_imp_CV_S_FS,std_EpiOnly_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,std_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,std_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS
Accuracy,16.74437,0.000231,*,0.758134,0.026779,0.70656,0.042949,0.647138,0.054351
Balanced Accuracy,18.010323,0.000123,*,0.674456,0.026167,0.663711,0.037956,0.555145,0.047485
F1_Score,2.673548,0.262692,,0.418289,0.035169,0.392151,0.042282,0.323131,0.139748
Precision,18.23521,0.00011,*,0.338097,0.035371,0.294005,0.03881,0.478162,0.118044
Recall,18.785887,8.3e-05,*,0.5525,0.050621,0.60125,0.084666,0.278286,0.154783
Specificity,7.90692,0.019188,*,0.796412,0.033,0.726173,0.056632,0.832005,0.127518
TN,22.918334,1.1e-05,*,342.3,14.244297,312.1,24.200321,54.4,9.834181
TP,20.925084,2.9e-05,*,44.2,4.049691,48.1,6.773314,9.1,5.216427
FN,13.191598,0.001366,*,35.8,4.049691,31.9,6.773314,23.7,5.696978
FP,22.803049,1.1e-05,*,87.5,14.175487,117.7,24.376902,10.8,8.066391
ROC_AUC,19.365161,6.2e-05,*,0.702463,0.025127,0.701064,0.03735,0.572867,0.039445
PRC_AUC,14.036129,0.000896,*,0.342723,0.033005,0.359893,0.035546,0.455386,0.087274
PRC_APS,14.237419,0.00081,*,0.322007,0.029479,0.338913,0.041992,0.410296,0.060892
