,statistic,pvalue,sig,mean_EpiOnly_20180710_clean_scale_imp_CV_S_FS,std_EpiOnly_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,std_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,std_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS
Accuracy,18.599777,9.1e-05,*,0.753816,0.023504,0.744595,0.019284,0.644303,0.074209
Balanced Accuracy,17.686515,0.000144,*,0.679525,0.03277,0.69186,0.035767,0.568333,0.047721
F1_Score,2.144993,0.342153,,0.422126,0.04204,0.430322,0.041693,0.388241,0.072451
Precision,15.701715,0.000389,*,0.334959,0.037124,0.331144,0.032027,0.488885,0.118264
Recall,19.541708,5.7e-05,*,0.57125,0.048251,0.615,0.063955,0.342312,0.105071
Specificity,5.718565,0.05731,,0.787801,0.020111,0.768721,0.015244,0.794355,0.146832
TN,22.20963,1.5e-05,*,338.6,8.783824,330.4,6.769211,51.8,10.141225
TP,21.517987,2.1e-05,*,45.7,3.860052,49.2,5.116422,11.3,3.831159
FN,20.73859,3.1e-05,*,34.3,3.860052,30.8,5.116422,21.5,3.407508
FP,22.224493,1.5e-05,*,91.2,8.599742,99.4,6.484169,13.4,9.663218
ROC_AUC,17.310968,0.000174,*,0.721148,0.044412,0.734736,0.035197,0.579192,0.070898
PRC_AUC,5.700645,0.057826,,0.374405,0.024516,0.389246,0.021241,0.446849,0.078436
PRC_APS,9.065806,0.010749,*,0.379463,0.024556,0.394422,0.020859,0.461893,0.07423
