,statistic,pvalue,sig,mean_EpiOnly_20180710_clean_scale_imp_CV_S_FS,std_EpiOnly_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,std_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,std_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS
Accuracy,21.283478,2.4e-05,*,0.821692,0.015158,0.810315,0.012108,0.640961,0.041126
Balanced Accuracy,9.494194,0.008677,*,0.605329,0.024046,0.621981,0.024943,0.572899,0.039524
F1_Score,7.667097,0.021633,*,0.338319,0.047407,0.364418,0.043964,0.405056,0.061156
Precision,5.134691,0.076739,,0.40701,0.064068,0.384585,0.044971,0.459535,0.074197
Recall,8.291167,0.015834,*,0.29,0.038998,0.3475,0.048876,0.367336,0.069496
Specificity,24.142565,6e-06,*,0.920658,0.012258,0.896463,0.011307,0.778462,0.061422
TN,24.169467,6e-06,*,395.7,5.396501,385.3,4.900113,50.8,5.308274
TP,21.893286,1.8e-05,*,23.2,3.119829,27.8,3.910101,12.0,2.160247
FN,21.903057,1.8e-05,*,56.8,3.119829,52.2,3.910101,20.8,3.155243
FP,24.174855,6e-06,*,34.1,5.258855,44.5,4.859127,14.4,3.864367
ROC_AUC,16.258065,0.000295,*,0.700371,0.030142,0.712792,0.026172,0.578934,0.059549
PRC_AUC,11.171613,0.003751,*,0.357324,0.022232,0.362097,0.020473,0.434205,0.060717
PRC_APS,15.563871,0.000417,*,0.359304,0.0235,0.364491,0.021342,0.447354,0.0605
