,statistic,pvalue,sig,mean_EpiOnly_20180710_clean_scale_imp_CV_S_FS,std_EpiOnly_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,std_Epi_DietAdj_20180710_clean_scale_imp_CV_S_FS,mean_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS,std_Epi_DietAdj_Matched_20180710_clean_scale_imp_CV_M_FS
Accuracy,21.487921,2.2e-05,*,0.764598,0.026874,0.784025,0.012888,0.63247,0.048821
Balanced Accuracy,19.098442,7.1e-05,*,0.679814,0.030038,0.692355,0.025058,0.558234,0.046823
F1_Score,6.089097,0.047618,*,0.427154,0.03995,0.44774,0.032054,0.373204,0.092206
Precision,9.466184,0.008799,*,0.347112,0.038331,0.374162,0.025658,0.444271,0.087894
Recall,19.491527,5.9e-05,*,0.55625,0.036917,0.55875,0.051724,0.335518,0.098078
Specificity,7.446627,0.024154,*,0.803378,0.025968,0.825959,0.014464,0.780949,0.079663
TN,21.854286,1.8e-05,*,345.3,11.421714,355.0,6.394442,51.0,6.733003
TP,19.535201,5.7e-05,*,44.5,2.953341,44.7,4.137901,11.0,3.299832
FN,19.508973,5.8e-05,*,35.5,2.953341,35.3,4.137901,21.8,3.645393
FP,21.883523,1.8e-05,*,84.5,11.078006,74.8,6.178817,14.2,5.116422
ROC_AUC,20.75871,3.1e-05,*,0.714628,0.035161,0.745943,0.02652,0.570839,0.058618
PRC_AUC,9.486452,0.008711,*,0.354484,0.035909,0.411426,0.028673,0.435898,0.076732
PRC_APS,10.392258,0.005538,*,0.360611,0.034878,0.417225,0.027585,0.449703,0.073067
